Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 42.260937	Val Loss: 12.332472	Val Acc: 3
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 12.058537	Val Loss: 12.777342	Val Acc: 22
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 13.190776	Val Loss: 13.232069	Val Acc: 22
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 10.359257	Val Loss: 11.721531	Val Acc: 17
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 10.193813	Val Loss: 10.657254	Val Acc: 18
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 13.001583	Val Loss: 11.043718	Val Acc: 19
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 10.504176	Val Loss: 9.337478	Val Acc: 21
Train Epoch: 1 [17920/49000 (36%)]	Train Loss: 10.270554	Val Loss: 10.645573	Val Acc: 18
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 9.516459	Val Loss: 9.935851	Val Acc: 16
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 12.098173	Val Loss: 10.745323	Val Acc: 20
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 13.523281	Val Loss: 12.386586	Val Acc: 18
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 9.981674	Val Loss: 12.164996	Val Acc: 19
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 10.732678	Val Loss: 10.778904	Val Acc: 16
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 11.067128	Val Loss: 9.602078	Val Acc: 19
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 11.391182	Val Loss: 9.208229	Val Acc: 20
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 10.676191	Val Loss: 10.745130	Val Acc: 18
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 11.603993	Val Loss: 10.116953	Val Acc: 19
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 10.805321	Val Loss: 9.457291	Val Acc: 17
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 9.202387	Val Loss: 9.573915	Val Acc: 19
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 9.720129	Val Loss: 9.074591	Val Acc: 18
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 86.218704	Val Loss: 9.777914	Val Acc: 17
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 8.761900	Val Loss: 10.031994	Val Acc: 18
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 9.592261	Val Loss: 9.922105	Val Acc: 21
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 9.668305	Val Loss: 10.012918	Val Acc: 19
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 9.805037	Val Loss: 9.788012	Val Acc: 18
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 9.116453	Val Loss: 9.172492	Val Acc: 23
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 8.917049	Val Loss: 9.064535	Val Acc: 22
Train Epoch: 2 [17920/49000 (36%)]	Train Loss: 9.870653	Val Loss: 9.851550	Val Acc: 17
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 9.093049	Val Loss: 9.271073	Val Acc: 19
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 8.773668	Val Loss: 9.172338	Val Acc: 16
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 8.423244	Val Loss: 9.159612	Val Acc: 17
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 10.031470	Val Loss: 9.164337	Val Acc: 18
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 10.141493	Val Loss: 8.950099	Val Acc: 18
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 8.554744	Val Loss: 8.607495	Val Acc: 18
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 9.366232	Val Loss: 9.264156	Val Acc: 18
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 8.233611	Val Loss: 9.364303	Val Acc: 16
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 9.117433	Val Loss: 9.368226	Val Acc: 18
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 8.549129	Val Loss: 9.055995	Val Acc: 17
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 9.060906	Val Loss: 9.100380	Val Acc: 16
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 8.957372	Val Loss: 9.365422	Val Acc: 18
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 62.432449	Val Loss: 9.796965	Val Acc: 18
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 10.503170	Val Loss: 10.590750	Val Acc: 19
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 8.662549	Val Loss: 10.282181	Val Acc: 16
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 9.047677	Val Loss: 9.762606	Val Acc: 17
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 8.148232	Val Loss: 9.045488	Val Acc: 15
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 8.942322	Val Loss: 9.202721	Val Acc: 17
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 9.016873	Val Loss: 8.916184	Val Acc: 17
Train Epoch: 3 [17920/49000 (36%)]	Train Loss: 9.714026	Val Loss: 9.747865	Val Acc: 16
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 9.435197	Val Loss: 8.855599	Val Acc: 16
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 8.868568	Val Loss: 8.802685	Val Acc: 18
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 9.102722	Val Loss: 9.217838	Val Acc: 17
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 9.235700	Val Loss: 10.136353	Val Acc: 15
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 9.606601	Val Loss: 10.017587	Val Acc: 19
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 8.210336	Val Loss: 10.569104	Val Acc: 19
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 11.864504	Val Loss: 9.912741	Val Acc: 17
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 11.264691	Val Loss: 9.807897	Val Acc: 19
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 10.418430	Val Loss: 10.861584	Val Acc: 17
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 8.288446	Val Loss: 10.688515	Val Acc: 18
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 10.423947	Val Loss: 9.392252	Val Acc: 17
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 10.566438	Val Loss: 9.158731	Val Acc: 16
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 57.139214	Val Loss: 9.212399	Val Acc: 17
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 10.466604	Val Loss: 10.117141	Val Acc: 15
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 9.172491	Val Loss: 9.866925	Val Acc: 15
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 9.425776	Val Loss: 10.282469	Val Acc: 16
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 8.611229	Val Loss: 9.163186	Val Acc: 17
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 7.963126	Val Loss: 8.987868	Val Acc: 16
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 8.465973	Val Loss: 8.898149	Val Acc: 16
Train Epoch: 4 [17920/49000 (36%)]	Train Loss: 8.282523	Val Loss: 8.903311	Val Acc: 16
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 8.475396	Val Loss: 9.063756	Val Acc: 16
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 8.300570	Val Loss: 8.253621	Val Acc: 16
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 8.285401	Val Loss: 8.796872	Val Acc: 15
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 9.350083	Val Loss: 8.872114	Val Acc: 15
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 9.034844	Val Loss: 9.196285	Val Acc: 17
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 8.724976	Val Loss: 9.323893	Val Acc: 15
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 8.413598	Val Loss: 9.013599	Val Acc: 15
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 8.518058	Val Loss: 8.778891	Val Acc: 15
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 10.601742	Val Loss: 9.736356	Val Acc: 16
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 8.411402	Val Loss: 8.858840	Val Acc: 15
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 7.961961	Val Loss: 8.181786	Val Acc: 15
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 8.951019	Val Loss: 8.044238	Val Acc: 15
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 44.143265	Val Loss: 8.194861	Val Acc: 14
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 8.133391	Val Loss: 8.251075	Val Acc: 15
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 7.796618	Val Loss: 8.884236	Val Acc: 17
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 8.339709	Val Loss: 8.859547	Val Acc: 17
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 9.043256	Val Loss: 9.425234	Val Acc: 15
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 8.044804	Val Loss: 8.388992	Val Acc: 16
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 8.678600	Val Loss: 9.700190	Val Acc: 15
Train Epoch: 5 [17920/49000 (36%)]	Train Loss: 8.269739	Val Loss: 9.716057	Val Acc: 15
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 9.869326	Val Loss: 9.858586	Val Acc: 14
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 8.992219	Val Loss: 8.904840	Val Acc: 13
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 8.562249	Val Loss: 8.749404	Val Acc: 16
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 7.900972	Val Loss: 8.439779	Val Acc: 16
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 8.482824	Val Loss: 9.067754	Val Acc: 15
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 7.366192	Val Loss: 9.130935	Val Acc: 12
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 8.563003	Val Loss: 9.007915	Val Acc: 15
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 7.917700	Val Loss: 8.993681	Val Acc: 13
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 8.848554	Val Loss: 8.706130	Val Acc: 15
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 7.811722	Val Loss: 8.408390	Val Acc: 14
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 7.252378	Val Loss: 8.357259	Val Acc: 16
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 8.711535	Val Loss: 7.963357	Val Acc: 15
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 43.967052	Val Loss: 8.483962	Val Acc: 13
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 10.923222	Val Loss: 9.161381	Val Acc: 12
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 10.855440	Val Loss: 10.500306	Val Acc: 15
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 9.148063	Val Loss: 8.895373	Val Acc: 14
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 8.977179	Val Loss: 9.337282	Val Acc: 15
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 9.415213	Val Loss: 8.680605	Val Acc: 14
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 7.323153	Val Loss: 8.581242	Val Acc: 14
Train Epoch: 6 [17920/49000 (36%)]	Train Loss: 7.398194	Val Loss: 8.405924	Val Acc: 12
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 8.839679	Val Loss: 8.448596	Val Acc: 14
Train Epoch: 6 [23040/49000 (47%)]	Train Loss: 8.778587	Val Loss: 8.047466	Val Acc: 16
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 9.627186	Val Loss: 8.943872	Val Acc: 16
Train Epoch: 6 [28160/49000 (57%)]	Train Loss: 8.389363	Val Loss: 7.824050	Val Acc: 15
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 9.619995	Val Loss: 8.302699	Val Acc: 16
Train Epoch: 6 [33280/49000 (68%)]	Train Loss: 8.627254	Val Loss: 8.287808	Val Acc: 17
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 7.343728	Val Loss: 8.223471	Val Acc: 15
Train Epoch: 6 [38400/49000 (78%)]	Train Loss: 7.933514	Val Loss: 9.324346	Val Acc: 14
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 9.877979	Val Loss: 8.688478	Val Acc: 14
Train Epoch: 6 [43520/49000 (89%)]	Train Loss: 8.278054	Val Loss: 8.889654	Val Acc: 15
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 8.530799	Val Loss: 8.379692	Val Acc: 13
Train Epoch: 6 [48640/49000 (99%)]	Train Loss: 7.207232	Val Loss: 8.447347	Val Acc: 14
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 35.422142	Val Loss: 7.860712	Val Acc: 15
Train Epoch: 7 [2560/49000 (5%)]	Train Loss: 8.147879	Val Loss: 9.406691	Val Acc: 11
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 8.176296	Val Loss: 8.868779	Val Acc: 12
Train Epoch: 7 [7680/49000 (16%)]	Train Loss: 8.101016	Val Loss: 8.884316	Val Acc: 13
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 9.961320	Val Loss: 9.554056	Val Acc: 12
Train Epoch: 7 [12800/49000 (26%)]	Train Loss: 8.616216	Val Loss: 8.614941	Val Acc: 13
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 8.879429	Val Loss: 8.829160	Val Acc: 13
Train Epoch: 7 [17920/49000 (36%)]	Train Loss: 8.599533	Val Loss: 8.043920	Val Acc: 14
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 7.708540	Val Loss: 8.911861	Val Acc: 14
Train Epoch: 7 [23040/49000 (47%)]	Train Loss: 8.513063	Val Loss: 10.440554	Val Acc: 14
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 9.705998	Val Loss: 9.270045	Val Acc: 13
Train Epoch: 7 [28160/49000 (57%)]	Train Loss: 10.712904	Val Loss: 10.173680	Val Acc: 13
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 8.911851	Val Loss: 9.468699	Val Acc: 15
Train Epoch: 7 [33280/49000 (68%)]	Train Loss: 8.953032	Val Loss: 9.568920	Val Acc: 13
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 9.195212	Val Loss: 8.799055	Val Acc: 16
Train Epoch: 7 [38400/49000 (78%)]	Train Loss: 8.441237	Val Loss: 8.523748	Val Acc: 14
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 7.905420	Val Loss: 8.781508	Val Acc: 13
Train Epoch: 7 [43520/49000 (89%)]	Train Loss: 7.980530	Val Loss: 8.203107	Val Acc: 14
Train Epoch: 7 [46080/49000 (94%)]	Train Loss: 8.639917	Val Loss: 8.624508	Val Acc: 14
Train Epoch: 7 [48640/49000 (99%)]	Train Loss: 9.820519	Val Loss: 8.685465	Val Acc: 12
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 49.517879	Val Loss: 8.606146	Val Acc: 14
Train Epoch: 8 [2560/49000 (5%)]	Train Loss: 8.703474	Val Loss: 8.604094	Val Acc: 12
Train Epoch: 8 [5120/49000 (10%)]	Train Loss: 7.900826	Val Loss: 8.987078	Val Acc: 13
Train Epoch: 8 [7680/49000 (16%)]	Train Loss: 7.968781	Val Loss: 8.736423	Val Acc: 17
Train Epoch: 8 [10240/49000 (21%)]	Train Loss: 7.605819	Val Loss: 8.364732	Val Acc: 15
Train Epoch: 8 [12800/49000 (26%)]	Train Loss: 7.974645	Val Loss: 8.517325	Val Acc: 12
Train Epoch: 8 [15360/49000 (31%)]	Train Loss: 7.554631	Val Loss: 7.796334	Val Acc: 13
Train Epoch: 8 [17920/49000 (36%)]	Train Loss: 7.912232	Val Loss: 8.962078	Val Acc: 13
Train Epoch: 8 [20480/49000 (42%)]	Train Loss: 8.004741	Val Loss: 8.983672	Val Acc: 14
Train Epoch: 8 [23040/49000 (47%)]	Train Loss: 7.530010	Val Loss: 8.617991	Val Acc: 13
Train Epoch: 8 [25600/49000 (52%)]	Train Loss: 8.383577	Val Loss: 9.031124	Val Acc: 15
Train Epoch: 8 [28160/49000 (57%)]	Train Loss: 8.341796	Val Loss: 9.186794	Val Acc: 13
Train Epoch: 8 [30720/49000 (62%)]	Train Loss: 7.126699	Val Loss: 9.727787	Val Acc: 15
