Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.069496	Val Loss: 3.474453	Val Acc: 14
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.492898	Val Loss: 2.703167	Val Acc: 28
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.341283	Val Loss: 2.523094	Val Acc: 29
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 2.451020	Val Loss: 2.378846	Val Acc: 34
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.085634	Val Loss: 2.148721	Val Acc: 35
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 1.884748	Val Loss: 2.168124	Val Acc: 34
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.055617	Val Loss: 2.042804	Val Acc: 35
Train Epoch: 1 [17920/49000 (36%)]	Train Loss: 1.793223	Val Loss: 1.897389	Val Acc: 39
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.075413	Val Loss: 1.867988	Val Acc: 42
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.087086	Val Loss: 1.787714	Val Acc: 43
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.907506	Val Loss: 1.862390	Val Acc: 39
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 1.847008	Val Loss: 1.768264	Val Acc: 42
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 1.760751	Val Loss: 1.708339	Val Acc: 43
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 1.600411	Val Loss: 1.671704	Val Acc: 46
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.648998	Val Loss: 1.589770	Val Acc: 45
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.518509	Val Loss: 1.565592	Val Acc: 45
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 1.583444	Val Loss: 1.623268	Val Acc: 43
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 1.572615	Val Loss: 1.642446	Val Acc: 44
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.665146	Val Loss: 1.609824	Val Acc: 46
